method,accuracy,ece_equal_width,ece_equal_mass,mce,brier,nll
uncalibrated,0.9355,0.030305662426352457,0.029933460545539838,0.17776276471134955,0.10081276098843348,0.22292964
temperature_scaling,0.9355,0.010185323720442657,0.008937644890481565,0.25611091527410845,0.0962380918128287,0.1969624053945779
platt_scaling,0.9348,0.019651421159930293,0.018873881833572685,0.09678725065666877,0.10057328616730231,0.21175312816727632
isotonic_regression,0.9355,0.009241541959394927,0.00796059689293375,0.19294005305796166,0.09590708745492842,0.25975254815736454
